scenario,sim_id,league,league_calibrated,market,side,edge_pct,odd,prob_calibrated,units,bet_won,pl_units,home_score,away_score
D10,1351,Ekstraklasa,0,btts,nao,19.87,2.1,0.5708,0.5,true,0.55,4,0
D10,1350,Ekstraklasa,0,1x2,home,64.33,2.9,0.5667,0.5,false,-0.5,1,1
D10,1349,Ekstraklasa,0,btts,nao,31.28,1.77,0.7417,0.5,true,0.385,3,0
D10,1348,Ekstraklasa,0,,,,,,,skip,,2,1
D10,766,Championship,0,1x2,home,97.14,4.6,0.4286,0.5,true,1.8,1,0
D10,826,1. SNL,0,over25,over,40,1.4,1,0.5,true,0.2,3,0
D10,793,Ekstraklasa,0,btts,nao,24.66,1.95,0.6393,0.5,false,-0.5,1,1
D10,792,Ekstraklasa,0,1x2,home,10.49,1.46,0.7568,0.5,true,0.23,6,2
D10,791,Ekstraklasa,0,,,,,,,skip,,1,0
D10,790,Ekstraklasa,0,1x2,away,63.64,10,0.1636,0.5,false,-0.5,2,2
D10,789,Ekstraklasa,0,1x2,draw,20.47,4.2,0.2868,0.5,false,-0.5,4,0
D10,788,Ekstraklasa,0,1x2,away,39.09,8.5,0.1636,0.5,false,-0.5,3,0
D10,787,Ekstraklasa,0,1x2,home,70.22,2.9,0.587,0.5,false,-0.5,1,1
D10,786,Ekstraklasa,0,over25,over,16.29,2.1,0.5538,0.5,true,0.55,2,1
D10,785,Ekstraklasa,0,1x2,home,71.43,4,0.4286,0.5,true,1.5,3,2
D10,1445,Superettan,0,,,,,,,skip,,3,1
D10,1390,Ligat ha'Al,0,1x2,home,22.58,4.75,0.2581,0.5,false,-0.5,2,2
D10,1359,Premier League,1,1x2,away,20,3.45,0.3478,2,true,4.9,1,2
D10,1171,Ligat ha'Al,0,1x2,home,39.71,4.75,0.2941,0.5,false,-0.5,2,2
D10,881,Superettan,0,,,,,,,skip,,3,1
D10,796,Premier League,1,1x2,away,20.48,3.45,0.3492,2,true,4.9,1,2
D10,1329,Championship,0,1x2,home,96.61,4.6,0.4274,0.5,true,1.8,1,0
D10,1469,Inkasso-Deildin,0,over25,under,26.48,2.62,0.4828,0.5,true,0.81,0,0
D10,1432,Ykkösliiga,0,,,,,,,skip,,1,0
D10,1380,1. HNL,0,btts,nao,15.11,1.84,0.6256,0.5,true,0.42,2,0
D10,1379,1. HNL,0,,,,,,,skip,,2,0
D10,1347,Veikkausliiga,0,1x2,away,20,4,0.3,0.5,false,-0.5,3,0
D10,1346,Veikkausliiga,0,1x2,away,38.7,3.65,0.38,0.5,false,-0.5,2,0
D10,1345,Veikkausliiga,0,btts,nao,13.76,1.85,0.6149,0.5,false,-0.5,2,1
D10,1343,Veikkausliiga,0,,,,,,,skip,,0,1
D10,1169,1. HNL,0,btts,nao,13.38,1.84,0.6162,0.5,true,0.42,2,0
D10,1168,1. HNL,0,,,,,,,skip,,2,0
D10,1471,Inkasso-Deildin,0,1x2,home,241.94,8,0.4274,0.5,false,-0.5,0,1
D10,904,Inkasso-Deildin,0,1x2,home,220,8,0.4,0.5,false,-0.5,0,1
D10,903,Inkasso-Deildin,0,,,,,,,skip,,5,3
D10,902,Inkasso-Deildin,0,over25,under,16.91,2.62,0.4462,0.5,true,0.81,0,0
D10,872,Ykkösliiga,0,,,,,,,skip,,1,0
D10,1470,Inkasso-Deildin,0,1x2,home,15.4,2.7,0.4274,0.5,true,0.85,5,3
D10,784,Veikkausliiga,0,,,,,,,skip,,0,1
D10,783,Veikkausliiga,0,,,,,,,skip,,3,0
D10,782,Veikkausliiga,0,1x2,away,28.07,3.65,0.3509,0.5,false,-0.5,2,0
D10,781,Veikkausliiga,0,1x2,draw,26.18,3.85,0.3277,0.5,false,-0.5,2,1
